,ratio,cca,auto,cl,cln
0,1.0,nan ,nan ,nan ,nan 
1,0.9,nan ,nan ,nan ,nan 
2,0.8,nan ,nan ,nan ,nan 
3,0.7,nan ,nan ,nan ,nan 
4,0.6,nan ,nan ,nan ,nan 
5,0.5,nan ,nan ,nan ,nan 
6,0.4,nan ,nan ,nan ,nan 
7,0.3,nan ,nan ,nan ,nan 
8,0.2,nan ,nan ,nan ,nan 
9,0.1,nan ,nan ,nan ,nan 
10,0.02,nan ,nan ,nan ,nan 
11,0.01,nan ,nan ,nan ,nan 
12,0.0,nan ,nan ,nan ,nan 
13,0.49,nan ,nan ,nan ,nan 
