,ACM_AUTO_pca_30_5_pairs_0,Cora_AUTO_0,Cora_None_pca_64TRI,Cora_CLL_0,IMDB_CLL_pca_30_5_pairs_0,Citeseer_None_pca_64CONV,ACM_CLL_pca_30_5_pairs_0,output_5_pairs_runs.log,IMDB_CLNL_pca_30_5_pairs_0,ACM_CLNL_pca_30_5_pairs_0,Citeseer_None_pca_64zscore,IMDB_None_pca_32zscore,Cora_CLNL_0,IMDB_None_pca_32TRI,Citeseer_CCA_pca_300,DBLP_CLL_pca_30_5_pairs_0,Cora_None_pca_64CONV,Cora_None_pca_64zscore,Citeseer_CLL_pca_30,DBLP_None_pca_32TRI,DBLP_CCA_pca_30_5_pairs_0,Cora_None_zscore,Cora_CCA_0,ACM_CCA_pca_30_5_pairs_0,ratio,Cora_None_CONV,ACM_None_pca_32TRI,IMDB_AUTO_pca_30_5_pairs_0,IMDB_CCA_pca_30_5_pairs_0,Citeseer_AUTO_pca_30,Citeseer_None_pca_64TRI,DBLP_None_pca_32zscore,DBLP_AUTO_pca_30_5_pairs_0,Cora_None_TRI,Citeseer_CLNL_pca_30,ACM_None_pca_32zscore,DBLP_CLNL_pca_30
0,"[0.9078558771411696, 0.8942705256940343, 0.9043118724158299, 0.9108092144122859, 0.9043118724158299]",,,,,,"[0.8996458087367178, 0.9002361275088547, 0.8961038961038961, 0.8931523022432113, 0.91086186540732]",,,"[0.8913813459268005, 0.8955135773317592, 0.8955135773317592, 0.8966942148760331, 0.898465171192444]",,,,,,,,,,,,,,"[0.897874852420307, 0.8860684769775679, 0.9049586776859504, 0.885478158205431, 0.91086186540732]",1.0,,"[0.9013585351447135, 0.9019492025989368, 0.9078558771411696, 0.9054932073242764, 0.9019492025989368]",,,,,,,,,"[0.9043118724158299, 0.9007678676904902, 0.8942705256940343, 0.8978145304193739, 0.9031305375073834]",
1,"[0.8980099502487562, 0.8868159203980099, 0.8532338308457711, 0.8980099502487562, 0.8756218905472637]",,,,,,"[0.899736147757256, 0.9010554089709762, 0.9023746701846965, 0.9023746701846965, 0.9036939313984169]",,,"[0.8921933085501859, 0.895910780669145, 0.895910780669145, 0.8940520446096655, 0.8884758364312267]",,,,,,,,,,,,,,"[0.8997134670487106, 0.9169054441260746, 0.9126074498567335, 0.8982808022922636, 0.9040114613180515]",0.5,,"[0.8897338403041825, 0.917617237008872, 0.8973384030418251, 0.9188846641318125, 0.9150823827629911]",,,,,,,,,"[0.901018922852984, 0.9097525473071325, 0.9039301310043668, 0.9024745269286754, 0.8893740902474527]",
2,"[0.7636363636363637, 0.4772727272727273, 0.7772727272727272, 0.4772727272727273, 0.8090909090909091]",,,,,,"[0.9023136246786633, 0.9023136246786633, 0.9177377892030848, 0.8946015424164524, 0.9125964010282777]",,,"[0.8895027624309392, 0.9116022099447514, 0.9005524861878453, 0.9116022099447514, 0.9116022099447514]",,,,,,,,,,,,,,"[0.8475073313782991, 0.8093841642228738, 0.8240469208211144, 0.7741935483870968, 0.8240469208211144]",0.3,,"[0.8668122270742358, 0.8493449781659389, 0.8951965065502183, 0.8275109170305677, 0.4606986899563319]",,,,,,,,,"[0.5358090185676393, 0.5358090185676393, 0.830238726790451, 0.5358090185676393, 0.5358090185676393]",
3,"[0.3983050847457627, 0.3983050847457627, 0.3983050847457627, 0.3983050847457627, 0.3983050847457627]",,,,,,"[0.5974025974025974, 0.5714285714285714, 0.5974025974025974, 0.5974025974025974, 0.7792207792207793]",,,"[0.4, 0.4, 0.4, 0.4, 0.4]",,,,,,,,,,,,,,"[0.625, 0.5625, 0.5625, 0.5625, 0.5625]",0.1,,"[0.6785714285714286, 0.7857142857142857, 0.6785714285714286, 0.4928571428571429, 0.6857142857142857]",,,,,,,,,"[0.5754716981132075, 0.5754716981132075, 0.5754716981132075, 0.5754716981132075, 0.5754716981132075]",
