,DBLP_None_pca_32zscore,ACM_CLNL_pca_30_5_pairs_0,DBLP_AUTO_new_pca_300,output_5_pairs_runs.log,Citeseer_CLNL_pca_30,DBLP_CLNL_pca_30,Citeseer_CCA_pca_300,ACM_AUTO_new_pca_300,IMDB_AUTO_new_pca_300,Citeseer_AUTO_pca_30,IMDB_None_pca_32TRI,DBLP_CCA_pca_30_5_pairs_0,IMDB_CLNL_pca_30_5_pairs_0,IMDB_None_pca_32zscore,Cora_CCA_0,Cora_None_CONV,DBLP_AUTO_pca_30_5_pairs_0,Cora_None_zscore,DBLP_CLL_pca_30_5_pairs_0,IMDB_AUTO_pca_30_5_pairs_0,Cora_None_pca_64CONV,ACM_AUTO_pca_30_5_pairs_0,Cora_None_TRI,Citeseer_None_pca_64zscore,DBLP_None_pca_32TRI,Cora_CLNL_0,ACM_None_pca_32zscore,IMDB_CLL_pca_30_5_pairs_0,Cora_None_pca_64TRI,Cora_CLL_0,Cora_None_pca_64zscore,Cora_AUTO_0,Citeseer_None_pca_64TRI,ACM_None_pca_32TRI,Citeseer_CLL_pca_30,ACM_CLL_pca_30_5_pairs_0,IMDB_CCA_pca_30_5_pairs_0,ACM_CCA_pca_30_5_pairs_0,ratio,Citeseer_None_pca_64CONV
0,,"[0.7826343768458358, 0.893679858239811, 0.8877731836975783, 0.8978145304193739, 0.8919078558771412]",,,,,,"[0.8807556080283353, 0.8919716646989374, 0.8884297520661157, 0.8860684769775679, 0.8896103896103896]",,,,,,,,,,,,,,"[0.8884297520661157, 0.8878394332939787, 0.6948051948051948, 0.8931523022432113, 0.6475796930342385]",,,,,"[0.6958062610750148, 0.8865918487891317, 0.8948611931482575, 0.8984051978735972, 0.8889545186060248]",,,,,,,"[0.8860011813349085, 0.6461901949202599, 0.8913171884229178, 0.8824571766095688, 0.8783225044300059]",,"[0.8937426210153483, 0.8842975206611571, 0.6812278630460449, 0.897874852420307, 0.8937426210153483]",,"[0.6605667060212514, 0.8913813459268005, 0.8919716646989374, 0.8831168831168831, 0.8730814639905549]",1.0,
1,,"[0.7333333333333333, 0.7592592592592593, 0.8555555555555555, 0.6703703703703704, 0.7351851851851852]",,,,,,"[0.870722433460076, 0.8719898605830165, 0.8770595690747782, 0.8732572877059569, 0.8783269961977186]",,,,,,,,,,,,,,"[0.8628428927680798, 0.8603491271820449, 0.8379052369077307, 0.8528678304239401, 0.8528678304239401]",,,,,"[0.9049645390070922, 0.8893617021276595, 0.8865248226950354, 0.900709219858156, 0.8992907801418439]",,,,,,,"[0.7533908754623921, 0.8779284833538841, 0.8717632552404438, 0.8655980271270037, 0.8717632552404438]",,"[0.8662162162162163, 0.8824324324324324, 0.8824324324324324, 0.8729729729729729, 0.8648648648648649]",,"[0.8796561604584527, 0.7607449856733525, 0.8782234957020058, 0.8137535816618912, 0.8810888252148997]",0.5,
2,,"[0.8379888268156425, 0.9162011173184358, 0.888268156424581, 0.7262569832402235, 0.8603351955307262]",,,,,,"[0.8432671081677704, 0.8520971302428256, 0.8609271523178808, 0.8454746136865342, 0.8432671081677704]",,,,,,,,,,,,,,"[0.7981859410430839, 0.7074829931972789, 0.8095238095238095, 0.7981859410430839, 0.7936507936507936]",,,,,"[0.872, 0.856, 0.5306666666666666, 0.5306666666666666, 0.8773333333333333]",,,,,,,"[0.8586278586278586, 0.45114345114345117, 0.8503118503118503, 0.8523908523908524, 0.8336798336798337]",,"[0.8719211822660099, 0.8990147783251231, 0.8940886699507389, 0.8866995073891626, 0.8004926108374384]",,"[0.8761329305135952, 0.8610271903323263, 0.8640483383685801, 0.8731117824773413, 0.8761329305135952]",0.3,
3,,"[0.2222222222222222, 0.8888888888888888, 0.7777777777777778, 0.4444444444444444, 0.7777777777777778]",,,,,,"[0.5037037037037037, 0.5037037037037037, 0.5037037037037037, 0.5037037037037037, 0.6444444444444445]",,,,,,,,,,,,,,"[0.42016806722689076, 0.4117647058823529, 0.42016806722689076, 0.42016806722689076, 0.42016806722689076]",,,,,"[0.5384615384615384, 0.5384615384615384, 0.5288461538461539, 0.5288461538461539, 0.5288461538461539]",,,,,,,"[0.4236111111111111, 0.75, 0.7708333333333334, 0.3958333333333333, 0.8055555555555556]",,"[0.8795180722891566, 0.8192771084337349, 0.7228915662650602, 0.7951807228915663, 0.7590361445783133]",,"[0.3333333333333333, 0.4444444444444444, 0.7777777777777778, 0.3888888888888889, 0.4444444444444444]",0.1,
