,ugc_data,ratio
0,"[0.22382560638624502, 0.24777402517654282, 0.2447037150752226, 0.1802272029474977, 0.30058335891925086]",dblp_03.pt
1,"[0.24685293214614676, 0.3856309487258213, 0.24685293214614676, 0.17930610991710164, 0.19926312557568315]",dblp_01.pt
2,"[0.3515505066011667, 0.4504144918636782, 0.38256063862450107, 0.25698495548050354, 0.6435369972367209]",dblp_05.pt
