,Cora_None_pca_64CONV,output_5_pairs_runs.log,DBLP_None_pca_32TRI,IMDB_None_pca_32TRI,Citeseer_CLL_pca_30,Cora_None_zscore,ACM_None_pca_32zscore,Cora_AUTO_0,Cora_None_TRI,DBLP_None_pca_32zscore,Citeseer_None_pca_64CONV,IMDB_AUTO_pca_30_5_pairs_0,ACM_AUTO_pca_30_5_pairs_0,DBLP_CLNL_pca_30,IMDB_CCA_pca_30_5_pairs_0,Citeseer_None_pca_64zscore,ACM_None_pca_32TRI,Citeseer_AUTO_pca_30,IMDB_CLL_pca_30_5_pairs_0,DBLP_AUTO_pca_30_5_pairs_0,ACM_CCA_pca_30_5_pairs_0,Citeseer_CCA_pca_300,Citeseer_CLNL_pca_30,Cora_CLL_0,Citeseer_None_pca_64TRI,ACM_CLNL_pca_30_5_pairs_0,IMDB_CLNL_pca_30_5_pairs_0,ACM_CLL_pca_30_5_pairs_0,ratio,Cora_None_pca_64zscore,Cora_CCA_0,IMDB_None_pca_32zscore,Cora_CLNL_0,DBLP_CLL_pca_30_5_pairs_0,Cora_None_pca_64TRI,DBLP_CCA_pca_30_5_pairs_0,Cora_None_CONV
0,,,,,"[0.1967395331604298, 0.1782141533901445, 0.21230085216746944, 0.15524268247499073, 0.1967395331604298, 0.1967395331604298, 0.15524268247499073, 0.3523527232308262, 0.15524268247499073, 0.21230085216746944]",,,,,,,,,"[0.5668202764976958, 0.3001536098310292, 0.5606758832565284, 0.8470046082949308, 0.5554531490015361, 0.24639016897081414, 0.5637480798771122, 0.5385560675883256, 0.49554531490015363, 0.7508448540706605]",,,,"[0.1962962962962963, 0.17925925925925926, 0.1962962962962963, 0.15518518518518518, 0.17925925925925926, 0.1962962962962963, 0.21296296296296297, 0.1962962962962963, 0.21296296296296297, 0.21296296296296297]",,,,,"[0.19732937685459942, 0.19732937685459942, 0.15467359050445104, 0.21253709198813056, 0.15467359050445104, 0.15467359050445104, 0.17841246290801188, 0.19732937685459942, 0.19732937685459942, 0.17841246290801188]",,,,,,1.0,,,,,,,,
1,,,,,"[0.14545454545454545, 0.2329004329004329, 0.2329004329004329, 0.14545454545454545, 0.2329004329004329, 0.14545454545454545, 0.2329004329004329, 0.14545454545454545, 0.14545454545454545, 0.2329004329004329]",,,,,,,,,,,,,"[0.1895368782161235, 0.22126929674099485, 0.1895368782161235, 0.1895368782161235, 0.1895368782161235, 0.22126929674099485, 0.22126929674099485, 0.22126929674099485, 0.22126929674099485, 0.22126929674099485]",,,,,"[0.24309884238646481, 0.19857524487978628, 0.19056099732858414, 0.24309884238646481, 0.19857524487978628, 0.13446126447016918, 0.1772039180765806, 0.19056099732858414, 0.24309884238646481, 0.24309884238646481]",,,,,,0.5,,,,,,,,
2,,,,,"[0.22452504317789293, 0.1381692573402418, 0.1381692573402418, 0.20379965457685664, 0.1381692573402418, 0.15025906735751296, 0.22452504317789293, 0.1381692573402418, 0.1381692573402418, 0.1381692573402418]",,,,,,,,,,,,,"[0.19365609348914858, 0.2587646076794658, 0.19365609348914858, 0.19365609348914858, 0.2587646076794658, 0.2587646076794658, 0.2587646076794658, 0.2587646076794658, 0.2587646076794658, 0.22036727879799667]",,,,,"[0.28623853211009176, 0.1743119266055046, 0.28623853211009176, 0.28623853211009176, 0.28623853211009176, 0.1743119266055046, 0.28623853211009176, 0.28623853211009176, 0.28623853211009176, 0.1743119266055046]",,,,,,0.3,,,,,,,,
3,,,,,"[0.25333333333333335, 0.13333333333333333, 0.16, 0.14666666666666667, 0.13333333333333333, 0.14666666666666667, 0.25333333333333335, 0.13333333333333333, 0.25333333333333335, 0.16]",,,,,,,,,,,,,"[0.17142857142857143, 0.17142857142857143, 0.2761904761904762, 0.20952380952380953, 0.20952380952380953, 0.17142857142857143, 0.17142857142857143, 0.17142857142857143, 0.17142857142857143, 0.17142857142857143]",,,,,"[0.22727272727272727, 0.22727272727272727, 0.22727272727272727, 0.22727272727272727, 0.22727272727272727, 0.22727272727272727, 0.22727272727272727, 0.22727272727272727, 0.22727272727272727, 0.22727272727272727]",,,,,,0.1,,,,,,,,
