,ACM_CCA_pca_30_5_pairs_0,DBLP_CCA_pca_30_5_pairs_0,Citeseer_None_pca_64zscore,IMDB_None_pca_32TRI,ratio,Cora_None_pca_64TRI,Citeseer_None_pca_64CONV,Cora_None_CONV,ACM_CLL_pca_30_5_pairs_0,Cora_None_zscore,IMDB_CLL_pca_30_5_pairs_0,Cora_CLL_0,DBLP_CLNL_pca_30,Cora_AUTO_0,Cora_None_pca_64zscore,DBLP_None_pca_32TRI,IMDB_None_pca_32zscore,output_5_pairs_runs.log,ACM_AUTO_pca_30_5_pairs_0,Citeseer_CCA_pca_300,DBLP_None_pca_32zscore,Cora_CLNL_0,ACM_None_pca_32zscore,ACM_None_pca_32TRI,IMDB_CCA_pca_30_5_pairs_0,Citeseer_None_pca_64TRI,Citeseer_CLL_pca_30,ACM_CLNL_pca_30_5_pairs_0,Cora_CCA_0,Citeseer_AUTO_pca_30,Cora_None_TRI,Cora_None_pca_64CONV,DBLP_CLL_pca_30_5_pairs_0,IMDB_CLNL_pca_30_5_pairs_0,DBLP_AUTO_pca_30_5_pairs_0,IMDB_AUTO_pca_30_5_pairs_0,Citeseer_CLNL_pca_30
0,,,,,1.0,,,,,,"[0.5524877768190969, 0.547886108714409, 0.5484613172274949, 0.5749209088294507, 0.5674431981593328, 0.5547886108714409, 0.5665803853897038, 0.5708944492378487, 0.5568018406672419, 0.5772217428817946, 0.5815358067299397, 0.5800977854472246, 0.5628415300546448, 0.5665803853897038, 0.6016681046879494, 0.5614035087719298, 0.5708944492378487, 0.5708944492378487, 0.5766465343687086, 0.5752085130859936]",,,,,,,,,,,,,,,,,,,,,,"[0.8108108108108109, 0.8108108108108109, 0.8105036855036855, 0.8105036855036855, 0.8197174447174447, 0.827088452088452, 0.8203316953316954, 0.8132678132678133, 0.797911547911548, 0.8141891891891891, 0.8108108108108109, 0.8151105651105651, 0.8166461916461917, 0.8181818181818182, 0.8227886977886978, 0.8163390663390664, 0.8111179361179361, 0.7708845208845209, 0.812039312039312, 0.8086609336609336]",,,,
1,,,,,0.5,,,,,,"[0.5681818181818182, 0.5645933014354066, 0.5173444976076556, 0.5568181818181818, 0.5514354066985646, 0.5639952153110048, 0.5394736842105263, 0.5263157894736842, 0.5550239234449761, 0.5651913875598086, 0.5586124401913876, 0.5681818181818182, 0.5496411483253588, 0.541267942583732, 0.5711722488038278, 0.5484449760765551, 0.55622009569378, 0.562799043062201, 0.5466507177033493, 0.5586124401913876]",,,,,,,,,,,,,,,,,,,,,,"[0.8321216126900198, 0.8426966292134831, 0.8440185062789161, 0.8327825512227363, 0.828155981493721, 0.8341044282881692, 0.8334434897554528, 0.8169200264375414, 0.8347653668208856, 0.838070059484468, 0.8374091209517515, 0.8175809649702578, 0.8307997356245869, 0.8354263053536021, 0.8228684732319894, 0.8341044282881692, 0.8321216126900198, 0.8493060145406477, 0.8327825512227363, 0.8327825512227363]",,,,
2,,,,,0.3,,,,,,"[0.4879759519038076, 0.49899799599198397, 0.5490981963927856, 0.5170340681362725, 0.503006012024048, 0.5160320641282565, 0.5070140280561122, 0.5360721442885772, 0.5190380761523046, 0.5100200400801603, 0.49198396793587174, 0.4498997995991984, 0.501002004008016, 0.49799599198396793, 0.5050100200400801, 0.5460921843687375, 0.5511022044088176, 0.5240480961923848, 0.5190380761523046, 0.5240480961923848]",,,,,,,,,,,,,,,,,,,,,,"[0.8185993111366245, 0.8369690011481056, 0.8415614236509759, 0.8461538461538461, 0.8369690011481056, 0.8461538461538461, 0.8346727898966705, 0.817451205510907, 0.8335246842709529, 0.8427095292766934, 0.8312284730195177, 0.8254879448909299, 0.8300803673938002, 0.8082663605051664, 0.8450057405281286, 0.8473019517795637, 0.8495981630309989, 0.8197474167623421, 0.8438576349024111, 0.8450057405281286]",,,,
3,,,,,0.1,,,,,,"[0.4970414201183432, 0.5236686390532544, 0.5355029585798816, 0.3816568047337278, 0.5384615384615384, 0.4940828402366864, 0.5414201183431953, 0.5059171597633136, 0.5325443786982249, 0.4319526627218935, 0.3905325443786982, 0.5029585798816568, 0.514792899408284, 0.5384615384615384, 0.5, 0.4970414201183432, 0.5384615384615384, 0.5088757396449705, 0.5236686390532544, 0.5502958579881657]",,,,,,,,,,,,,,,,,,,,,,"[0.7697841726618705, 0.7697841726618705, 0.7985611510791367, 0.7769784172661871, 0.802158273381295, 0.7841726618705036, 0.802158273381295, 0.7949640287769785, 0.7841726618705036, 0.7661870503597122, 0.7733812949640287, 0.8237410071942446, 0.7446043165467626, 0.7841726618705036, 0.7805755395683454, 0.7805755395683454, 0.7482014388489209, 0.7589928057553957, 0.8309352517985612, 0.737410071942446]",,,,
