,ugc_data,ratio
0,"[0.6581680830972616, 0.5321057601510859, 0.5656279508970727, 0.7544853635505193, 0.4688385269121813]",acm_03.pt
1,"[0.7025495750708215, 0.6529745042492918, 0.34277620396600567, 0.5717658168083097, 0.5949008498583569]",acm_01.pt
