,ACM_None_pca_32zscore,Cora_None_pca_64zscore,Cora_CCA_0,Citeseer_CCA_pca_300,IMDB_CLNL_pca_30_5_pairs_0,Cora_None_CONV,IMDB_CLL_pca_30_5_pairs_0,DBLP_AUTO_new_pca_300,Cora_CLL_0,Cora_None_pca_64TRI,Citeseer_CLNL_pca_30,ACM_CLNL_pca_30_5_pairs_0,Cora_AUTO_0,Cora_None_TRI,DBLP_None_pca_32zscore,ACM_AUTO_pca_30_5_pairs_0,ACM_AUTO_new_pca_300,ACM_CCA_pca_30_5_pairs_0,Citeseer_CLL_pca_30,Cora_CLNL_0,IMDB_AUTO_new_pca_300,Citeseer_None_pca_64CONV,DBLP_CLL_pca_30_5_pairs_0,Cora_None_pca_64CONV,output_5_pairs_runs.log,DBLP_CCA_pca_30_5_pairs_0,ACM_CLL_pca_30_5_pairs_0,ratio,DBLP_CLNL_pca_30,IMDB_AUTO_pca_30_5_pairs_0,DBLP_None_pca_32TRI,IMDB_None_pca_32zscore,IMDB_CCA_pca_30_5_pairs_0,Citeseer_None_pca_64TRI,Cora_None_zscore,ACM_None_pca_32TRI,IMDB_None_pca_32TRI,DBLP_AUTO_pca_30_5_pairs_0,Citeseer_None_pca_64zscore,Citeseer_AUTO_pca_30
0,"[0.8860011813349085, 0.6851742468989959, 0.3337271116361488, 0.6645008860011813, 0.7005316007088009]",,,,"[0.3624856156501726, 0.36449942462600693, 0.36449942462600693, 0.3619102416570771, 0.3619102416570771]",,"[0.364106988783434, 0.364106988783434, 0.362381363244176, 0.364106988783434, 0.364106988783434]","[0.3000614250614251, 0.24662162162162163, 0.3000614250614251, 0.24662162162162163, 0.5945945945945946]",,,,"[0.33668044890726523, 0.6467808623744832, 0.8972238629651507, 0.6774955699940933, 0.8865918487891317]",,,"[0.5537469287469288, 0.24662162162162163, 0.30036855036855037, 0.24662162162162163, 0.5709459459459459]","[0.3408151210868281, 0.8989958653278204, 0.8995865327820437, 0.3408151210868281, 0.8984051978735972]","[0.3685764914353219, 0.8865918487891317, 0.3691671588895452, 0.9013585351447135, 0.668044890726521]","[0.7030696576151122, 0.3447461629279811, 0.6552538370720189, 0.6587957497048406, 0.6658795749704841]",,,"[0.3621979286536249, 0.3621979286536249, 0.36449942462600693, 0.36449942462600693, 0.36449942462600693]",,"[0.5718673218673219, 0.788083538083538, 0.3000614250614251, 0.5758599508599509, 0.24662162162162163]",,,"[0.3000614250614251, 0.3000614250614251, 0.3000614250614251, 0.273955773955774, 0.3000614250614251]","[0.8860684769775679, 0.8795749704840614, 0.8825265643447462, 0.6546635182998819, 0.34238488783943327]",1.0,"[0.27403993855606756, 0.5643625192012289, 0.24639016897081414, 0.3001536098310292, 0.7904761904761904]","[0.364106988783434, 0.362381363244176, 0.362381363244176, 0.364106988783434, 0.364106988783434]","[0.24662162162162163, 0.31756756756756754, 0.8697788697788698, 0.5555896805896806, 0.24662162162162163]","[0.3621979286536249, 0.36421173762945913, 0.3748561565017261, 0.36421173762945913, 0.36421173762945913]","[0.364394593039977, 0.362381363244176, 0.364394593039977, 0.362381363244176, 0.362381363244176]",,,"[0.6349675132900178, 0.67690490253987, 0.8930891907855877, 0.6343768458357945, 0.6343768458357945]","[0.362381363244176, 0.364394593039977, 0.364394593039977, 0.4052343974690825, 0.362381363244176]","[0.24662162162162163, 0.4855651105651106, 0.5902948402948403, 0.6173218673218673, 0.5595823095823096]",,
1,"[0.4624113475177305, 0.41418439716312055, 0.7304964539007093, 0.4624113475177305, 0.4624113475177305]",,,,"[0.3492063492063492, 0.3492063492063492, 0.3492063492063492, 0.3492063492063492, 0.3492063492063492]",,"[0.35645933014354064, 0.35645933014354064, 0.4300239234449761, 0.35645933014354064, 0.35645933014354064]","[0.5956072351421189, 0.6117571059431525, 0.5968992248062015, 0.2971576227390181, 0.2971576227390181]",,,,"[0.4331450094161959, 0.736346516007533, 0.4331450094161959, 0.8606403013182674, 0.6949152542372882]",,,"[0.2318471337579618, 0.28535031847133757, 0.2318471337579618, 0.28535031847133757, 0.28535031847133757]","[0.39775561097256856, 0.39775561097256856, 0.39775561097256856, 0.39775561097256856, 0.39775561097256856]","[0.44165621079046424, 0.44165621079046424, 0.44165621079046424, 0.42785445420326224, 0.44165621079046424]","[0.4194008559201141, 0.4194008559201141, 0.4194008559201141, 0.4194008559201141, 0.4194008559201141]",,,"[0.360263315380012, 0.360263315380012, 0.360263315380012, 0.360263315380012, 0.3644524236983842]",,"[0.28420356906807664, 0.28420356906807664, 0.28420356906807664, 0.28420356906807664, 0.28420356906807664]",,,"[0.2959844559585492, 0.2959844559585492, 0.2959844559585492, 0.2959844559585492, 0.2959844559585492]","[0.38881491344873503, 0.6058588548601864, 0.38881491344873503, 0.38881491344873503, 0.38748335552596536]",0.5,"[0.3290570878768441, 0.3290570878768441, 0.3290570878768441, 0.3290570878768441, 0.3290570878768441]","[0.36014405762304924, 0.36014405762304924, 0.36014405762304924, 0.36014405762304924, 0.36014405762304924]","[0.3086185044359949, 0.3086185044359949, 0.3086185044359949, 0.6007604562737643, 0.3086185044359949]","[0.35658914728682173, 0.35658914728682173, 0.35658914728682173, 0.35658914728682173, 0.35658914728682173]","[0.3523469994058229, 0.3523469994058229, 0.3523469994058229, 0.3523469994058229, 0.3523469994058229]",,,"[0.43375, 0.4875, 0.43375, 0.43375, 0.43375]","[0.35518474374255066, 0.35518474374255066, 0.35518474374255066, 0.35518474374255066, 0.35518474374255066]","[0.30150425114453894, 0.30150425114453894, 0.30150425114453894, 0.30150425114453894, 0.30150425114453894]",,
2,"[0.5442708333333334, 0.5442708333333334, 0.5442708333333334, 0.5442708333333334, 0.5442708333333334]",,,,"[0.3589232303090728, 0.3589232303090728, 0.3589232303090728, 0.3589232303090728, 0.3589232303090728]",,"[0.3527054108216433, 0.3527054108216433, 0.3527054108216433, 0.3527054108216433, 0.3937875751503006]","[0.29106945975744214, 0.29768467475192945, 0.29106945975744214, 0.29106945975744214, 0.29106945975744214]",,,,"[0.7430167597765364, 0.7262569832402235, 0.4748603351955307, 0.4748603351955307, 0.770949720670391]",,,"[0.3037837837837838, 0.2227027027027027, 0.3037837837837838, 0.3037837837837838, 0.2227027027027027]","[0.4604651162790698, 0.4604651162790698, 0.4604651162790698, 0.4604651162790698, 0.4604651162790698]","[0.5055928411633109, 0.5055928411633109, 0.5055928411633109, 0.5055928411633109, 0.5055928411633109]","[0.48955223880597015, 0.48955223880597015, 0.4417910447761194, 0.48955223880597015, 0.48955223880597015]",,,"[0.34865134865134867, 0.34865134865134867, 0.34865134865134867, 0.34865134865134867, 0.34865134865134867]",,"[0.2766934557979334, 0.7003444316877153, 0.2766934557979334, 0.2766934557979334, 0.23765786452353616]",,,"[0.2839779005524862, 0.2839779005524862, 0.2839779005524862, 0.2839779005524862, 0.2839779005524862]","[0.4236453201970443, 0.8226600985221675, 0.6847290640394089, 0.4236453201970443, 0.4236453201970443]",0.3,"[0.33881578947368424, 0.33881578947368424, 0.33881578947368424, 0.33881578947368424, 0.33881578947368424]","[0.3476983349657199, 0.3476983349657199, 0.3476983349657199, 0.3476983349657199, 0.3476983349657199]","[0.5542553191489362, 0.2851063829787234, 0.3170212765957447, 0.3170212765957447, 0.3170212765957447]","[0.35864135864135865, 0.35864135864135865, 0.35864135864135865, 0.35864135864135865, 0.35864135864135865]","[0.35601577909270216, 0.35601577909270216, 0.3599605522682446, 0.35601577909270216, 0.35601577909270216]",,,"[0.4606986899563319, 0.4606986899563319, 0.4606986899563319, 0.4606986899563319, 0.4148471615720524]","[0.3548707753479125, 0.3548707753479125, 0.3548707753479125, 0.3548707753479125, 0.3548707753479125]","[0.3093126385809313, 0.3093126385809313, 0.3093126385809313, 0.3093126385809313, 0.3093126385809313]",,
3,"[0.5596330275229358, 0.5229357798165137, 0.5596330275229358, 0.5504587155963303, 0.5504587155963303]",,,,"[0.35384615384615387, 0.35384615384615387, 0.35384615384615387, 0.35384615384615387, 0.35384615384615387]",,"[0.3609467455621302, 0.3609467455621302, 0.3609467455621302, 0.3609467455621302, 0.3609467455621302]","[0.38562091503267976, 0.38562091503267976, 0.38562091503267976, 0.38562091503267976, 0.38562091503267976]",,,,"[0.5, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5]",,,"[0.3161290322580645, 0.2645161290322581, 0.2064516129032258, 0.2645161290322581, 0.3258064516129032]","[0.39090909090909093, 0.38181818181818183, 0.39090909090909093, 0.38181818181818183, 0.39090909090909093]","[0.48936170212765956, 0.48936170212765956, 0.48936170212765956, 0.48936170212765956, 0.48936170212765956]","[0.5714285714285714, 0.6428571428571429, 0.5714285714285714, 0.5714285714285714, 0.21428571428571427]",,,"[0.34718100890207715, 0.34718100890207715, 0.34718100890207715, 0.3560830860534125, 0.34718100890207715]",,"[0.31654676258992803, 0.31654676258992803, 0.31654676258992803, 0.31654676258992803, 0.31654676258992803]",,,"[0.33666666666666667, 0.33666666666666667, 0.33666666666666667, 0.33666666666666667, 0.33666666666666667]","[0.39285714285714285, 0.4166666666666667, 0.2976190476190476, 0.39285714285714285, 0.2976190476190476]",0.1,"[0.4618055555555556, 0.4618055555555556, 0.4618055555555556, 0.4618055555555556, 0.4618055555555556]","[0.3254437869822485, 0.32840236686390534, 0.3254437869822485, 0.3254437869822485, 0.3254437869822485]","[0.3344262295081967, 0.3344262295081967, 0.3344262295081967, 0.3344262295081967, 0.3344262295081967]","[0.3577981651376147, 0.3577981651376147, 0.3577981651376147, 0.3577981651376147, 0.3577981651376147]","[0.3323442136498516, 0.3323442136498516, 0.3323442136498516, 0.3323442136498516, 0.3323442136498516]",,,"[0.4246575342465753, 0.4452054794520548, 0.3972602739726027, 0.4452054794520548, 0.4452054794520548]","[0.3433734939759036, 0.3433734939759036, 0.3433734939759036, 0.3433734939759036, 0.3433734939759036]","[0.314878892733564, 0.314878892733564, 0.314878892733564, 0.314878892733564, 0.314878892733564]",,
