,DBLP_None_pca_32TRI,Citeseer_AUTO_pca_30,IMDB_CLL_pca_30_5_pairs_0,Cora_None_pca_64TRI,IMDB_CLNL_pca_30_5_pairs_0,Pubmed_CCA_new_pca_300,Cora_None_TRI,Cora_None_pca_64zscore,Citeseer_CLNL_pca_30,ACM_CLL_pca_30_5_pairs_0,DBLP_AUTO_pca_30_5_pairs_0,IMDB_AUTO_new_pca_300,Citeseer_CLL_pca_30,IMDB_None_pca_32TRI,Pubmed_CLNL_new_pca_300,Pubmed_CLL_new_pca_300,Pubmed_zscore_new_pca_300,Citeseer_None_pca_64zscore,DBLP_CLL_pca_30_5_pairs_0,Cora_CCA_0,DBLP_None_pca_32zscore,Citeseer_None_pca_64TRI,ACM_None_pca_32zscore,Citeseer_None_pca_64CONV,IMDB_AUTO_pca_30_5_pairs_0,ratio,Citeseer_CCA_pca_300,Cora_CLNL_0,Cora_AUTO_0,DBLP_CLNL_pca_30,IMDB_None_pca_32zscore,DBLP_CCA_pca_30_5_pairs_0,ACM_CLNL_pca_30_5_pairs_0,Cora_None_zscore,ACM_None_pca_32TRI,ACM_AUTO_new_pca_300,Cora_CLL_0,Pubmed_TRI_new_pca_300,Pubmed_CONV_new_pca_300,Cora_None_pca_64CONV,output_5_pairs_runs.log,ACM_AUTO_pca_30_5_pairs_0,Cora_None_CONV,IMDB_CCA_pca_30_5_pairs_0,Pubmed_AUTO_new_pca_300,DBLP_AUTO_new_pca_300,ACM_CCA_pca_30_5_pairs_0
0,,,,,,"[0.7548825065274152, 0.7473107049608355, 0.7720104438642298, 0.7708616187989557, 0.7718015665796345]",,,,,,,,,"[0.7187842707190976, 0.7773251866938221, 0.6977910073633088, 0.7079220847041621, 0.7176876077079744]","[0.7768668407310705, 0.7506527415143603, 0.7724804177545692, 0.7535770234986945, 0.7711227154046998]","[0.7533423856277418, 0.7345414664716942, 0.7739711719239607, 0.7384060998537706, 0.7564236473783162]",,,,,,,,,1.0,,,,,,,,,,,,"[0.7726133277626906, 0.7052955922289534, 0.6681637768957593, 0.7324524754543555, 0.7732922498433257]","[0.7592437852517234, 0.7052433674535199, 0.7475976603300606, 0.7638917902653019, 0.7707854606225193]",,,,,,"[0.7785262938012428, 0.7377930962452347, 0.7724685362159904, 0.7240586975821192, 0.778108517416053]",,
1,,,,,,"[0.703672075149445, 0.7329205807002562, 0.6857386848847139, 0.6926771989752348, 0.6952391118701964]",,,,,,,,,"[0.7005353319057815, 0.7267665952890793, 0.7705567451820129, 0.724304068522484, 0.7222698072805139]","[0.7423384943940203, 0.6984516817939135, 0.6966364121729846, 0.7154297917778965, 0.7089161772557394]","[0.7251474530831099, 0.7653619302949062, 0.6935120643431636, 0.7626809651474531, 0.7639678284182305]",,,,,,,,,0.5,,,,,,,,,,,,"[0.7316890080428955, 0.7472386058981233, 0.7211796246648794, 0.7306166219839142, 0.763538873994638]","[0.7394101876675603, 0.6832171581769437, 0.7646112600536193, 0.7684718498659517, 0.7046648793565684]",,,,,,"[0.7139169713916972, 0.7190793719079371, 0.695310819531082, 0.7107980210798021, 0.7415573241557324]",,
2,,,,,,"[0.6689857195166605, 0.6825338703771512, 0.6797876235811058, 0.6552544855364335, 0.6686195532771878]",,,,,,,,,"[0.706575796647633, 0.7539141646712102, 0.7570454964081783, 0.7531773807331, 0.7542825566402652]","[0.73856567874131, 0.6266008049762166, 0.7343578485181119, 0.7411269667032565, 0.7440541529454812]","[0.7746037596756358, 0.7180243273129377, 0.7005160339107999, 0.7077036490969406, 0.7344268337633616]",,,,,,,,,0.3,,,,,,,,,,,,"[0.7196830077405086, 0.7176557316623664, 0.7248433468485072, 0.6905639513453741, 0.7768153335790637]","[0.7305565794323627, 0.7300036859565057, 0.7753409509767785, 0.7115739034279396, 0.718392922963509]",,,,,,"[0.6956845238095238, 0.7302827380952381, 0.7103794642857143, 0.7170758928571429, 0.7252604166666666]",,
3,,,,,,"[0.52203182374541, 0.6070991432068543, 0.5018359853121175, 0.5807833537331701, 0.5850673194614443]",,,,,,,,,"[0.6758373205741627, 0.6704545454545454, 0.6429425837320574, 0.6674641148325359, 0.6507177033492823]","[0.5880541871921182, 0.5775862068965517, 0.6293103448275862, 0.6607142857142857, 0.6730295566502463]","[0.7541385652973636, 0.7431023911710607, 0.7700797057020233, 0.7296137339055794, 0.7431023911710607]",,,,,,,,,0.1,,,,,,,,,,,,"[0.545677498467198, 0.7498467198038014, 0.7461679950950337, 0.7486204782342122, 0.7492335990190068]","[0.7529123237277744, 0.7443286327406499, 0.7443286327406499, 0.7578172900061312, 0.765787860208461]",,,,,,"[0.7662424648359009, 0.7561955793703952, 0.7595445411922304, 0.753516409912927, 0.5130609511051574]",,
