,ACM_CLL_pca_30_5_pairs_0,ACM_CLNL_pca_30_5_pairs_0,IMDB_AUTO_pca_30_5_pairs_0,Cora_None_pca_64zscore,Cora_CLL_0,Cora_AUTO_0,IMDB_CLL_pca_30_5_pairs_0,ACM_AUTO_pca_30_5_pairs_0,DBLP_CCA_pca_30_5_pairs_0,output_5_pairs_runs.log,Citeseer_CLNL_pca_30,ACM_None_pca_32zscore,Citeseer_None_pca_64TRI,Citeseer_CCA_pca_300,Cora_None_pca_64CONV,ACM_CCA_pca_30_5_pairs_0,DBLP_None_pca_32zscore,ratio,Cora_CLNL_0,Citeseer_CLL_pca_30,IMDB_None_pca_32zscore,IMDB_None_pca_32TRI,Citeseer_AUTO_pca_30,Cora_None_TRI,Citeseer_None_pca_64CONV,DBLP_AUTO_pca_30_5_pairs_0,Cora_None_pca_64TRI,DBLP_None_pca_32TRI,Cora_None_CONV,DBLP_CLL_pca_30_5_pairs_0,Cora_CCA_0,IMDB_CLNL_pca_30_5_pairs_0,DBLP_CLNL_pca_30,Cora_None_zscore,IMDB_CCA_pca_30_5_pairs_0,ACM_None_pca_32TRI,Citeseer_None_pca_64zscore
0,,,,,,,"[0.5700316364682197, 0.5800977854472246, 0.5772217428817946, 0.5660051768766178, 0.5628415300546448, 0.5668679896462467, 0.5740580960598217, 0.5829738280126546, 0.5616911130284729, 0.5752085130859936, 0.5642795513373597, 0.5660051768766178, 0.5772217428817946, 0.5795225769341387, 0.5809605982168536, 0.5875754961173425, 0.5772217428817946, 0.5846994535519126, 0.5841242450388265, 0.5777969513948806]",,,,,,,,,,,1.0,,,,,,,,,,,,"[0.8227886977886978, 0.8283169533169533, 0.8194103194103194, 0.8138820638820639, 0.824017199017199, 0.8111179361179361, 0.8123464373464373, 0.808968058968059, 0.8095823095823096, 0.8144963144963145, 0.8181818181818182, 0.827088452088452, 0.8234029484029484, 0.8166461916461917, 0.8255528255528255, 0.8230958230958231, 0.8135749385749386, 0.8191031941031941, 0.816953316953317, 0.827088452088452]",,,,,,,
1,,,,,,,"[0.5580143540669856, 0.5376794258373205, 0.5669856459330144, 0.5526315789473685, 0.5442583732057417, 0.5322966507177034, 0.5502392344497608, 0.520933014354067, 0.5424641148325359, 0.5484449760765551, 0.5526315789473685, 0.5418660287081339, 0.5305023923444976, 0.5514354066985646, 0.5550239234449761, 0.5442583732057417, 0.5406698564593302, 0.5460526315789473, 0.5645933014354066, 0.5442583732057417]",,,,,,,,,,,0.5,,,,,,,,,,,,"[0.8479841374752148, 0.822207534699273, 0.8426966292134831, 0.838070059484468, 0.8142762723066754, 0.8347653668208856, 0.8374091209517515, 0.8268341044282882, 0.8460013218770654, 0.8413747521480502, 0.8334434897554528, 0.8466622604097819, 0.8460013218770654, 0.8506278916060807, 0.8512888301387971, 0.8374091209517515, 0.8486450760079313, 0.8393919365499009, 0.8420356906807667, 0.8215465961665566]",,,,,,,
2,,,,,,,"[0.48096192384769537, 0.533066132264529, 0.5140280561122245, 0.5340681362725451, 0.5110220440881763, 0.5220440881763527, 0.531062124248497, 0.49799599198396793, 0.5480961923847696, 0.5130260521042084, 0.5290581162324649, 0.5270541082164328, 0.5270541082164328, 0.5220440881763527, 0.5110220440881763, 0.5160320641282565, 0.5260521042084169, 0.5380761523046093, 0.5210420841683366, 0.5120240480961924]",,,,,,,,,,,0.3,,,,,,,,,,,,"[0.8415614236509759, 0.8231917336394948, 0.8312284730195177, 0.8427095292766934, 0.8277841561423651, 0.835820895522388, 0.8266360505166476, 0.8427095292766934, 0.8059701492537313, 0.835820895522388, 0.835820895522388, 0.8427095292766934, 0.8392652123995408, 0.8312284730195177, 0.8404133180252583, 0.8266360505166476, 0.8484500574052812, 0.8381171067738232, 0.8473019517795637, 0.8381171067738232]",,,,,,,
3,,,,,,,"[0.3816568047337278, 0.378698224852071, 0.47633136094674555, 0.38461538461538464, 0.3994082840236686, 0.42011834319526625, 0.4940828402366864, 0.3816568047337278, 0.48520710059171596, 0.514792899408284, 0.4970414201183432, 0.39644970414201186, 0.39349112426035504, 0.40828402366863903, 0.5118343195266272, 0.378698224852071, 0.3520710059171598, 0.40532544378698226, 0.5059171597633136, 0.5177514792899408]",,,,,,,,,,,0.1,,,,,,,,,,,,"[0.7985611510791367, 0.7769784172661871, 0.8129496402877698, 0.7949640287769785, 0.7661870503597122, 0.8165467625899281, 0.802158273381295, 0.7410071942446043, 0.7553956834532374, 0.7661870503597122, 0.7230215827338129, 0.7769784172661871, 0.8093525179856115, 0.7446043165467626, 0.7697841726618705, 0.7805755395683454, 0.7589928057553957, 0.7769784172661871, 0.7482014388489209, 0.7553956834532374]",,,,,,,
