,DBLP_None_pca_32TRI,Citeseer_AUTO_pca_30,IMDB_CLL_pca_30_5_pairs_0,Cora_None_pca_64TRI,IMDB_CLNL_pca_30_5_pairs_0,Pubmed_CCA_new_pca_300,Cora_None_TRI,Cora_None_pca_64zscore,Citeseer_CLNL_pca_30,ACM_CLL_pca_30_5_pairs_0,DBLP_AUTO_pca_30_5_pairs_0,IMDB_AUTO_new_pca_300,Citeseer_CLL_pca_30,IMDB_None_pca_32TRI,Pubmed_CLNL_new_pca_300,Pubmed_CLL_new_pca_300,Pubmed_zscore_new_pca_300,Citeseer_None_pca_64zscore,DBLP_CLL_pca_30_5_pairs_0,Cora_CCA_0,DBLP_None_pca_32zscore,Citeseer_None_pca_64TRI,ACM_None_pca_32zscore,Citeseer_None_pca_64CONV,IMDB_AUTO_pca_30_5_pairs_0,ratio,Citeseer_CCA_pca_300,Cora_CLNL_0,Cora_AUTO_0,DBLP_CLNL_pca_30,IMDB_None_pca_32zscore,DBLP_CCA_pca_30_5_pairs_0,ACM_CLNL_pca_30_5_pairs_0,Cora_None_zscore,ACM_None_pca_32TRI,ACM_AUTO_new_pca_300,Cora_CLL_0,Pubmed_TRI_new_pca_300,Pubmed_CONV_new_pca_300,Cora_None_pca_64CONV,output_5_pairs_runs.log,ACM_AUTO_pca_30_5_pairs_0,Cora_None_CONV,IMDB_CCA_pca_30_5_pairs_0,Pubmed_AUTO_new_pca_300,DBLP_AUTO_new_pca_300,ACM_CCA_pca_30_5_pairs_0
0,,,,,,"[0.7506005221932115, 0.7554046997389033, 0.3760835509138381, 0.7461096605744125, 0.7532114882506528]",,,,,,,,,"[0.7632774557418142, 0.7514752728602015, 0.7539819311713405, 0.7633818998381117, 0.765627447908507]","[0.7621409921671018, 0.757597911227154, 0.7630287206266319, 0.7719060052219321, 0.7492428198433421]","[0.7709943597242532, 0.38949237518278673, 0.7730311259661583, 0.7784625026112387, 0.7484854815124296]",,,,,,,,,1.0,,,,,,,,,,,,"[0.7859828702736579, 0.7690620430332149, 0.7621683726759975, 0.7512533946104032, 0.7668163776895759]","[0.7610194276164612, 0.756841445581784, 0.7465531648213912, 0.7579381658658868, 0.7295278880300815]",,,,,,"[0.7452086270823541, 0.7412919734711996, 0.7447386286490156, 0.753511932738002, 0.7657318920048044]",,
1,,,,,,"[0.7322801024765158, 0.7052732707087959, 0.7220324508966696, 0.715734415029889, 0.7223526900085397]",,,,,,,,,"[0.7589935760171306, 0.7407922912205568, 0.7077087794432548, 0.7489293361884368, 0.7392933618843683]","[0.6964228510411106, 0.7325146823278164, 0.7004805125467165, 0.7492792311799252, 0.7350774159103043]","[0.7266487935656837, 0.7657908847184987, 0.7616085790884719, 0.7562466487935657, 0.7512064343163539]",,,,,,,,,0.5,,,,,,,,,,,,"[0.7809115281501341, 0.7735120643431636, 0.7627882037533512, 0.7597855227882038, 0.7693297587131367]","[0.7594638069705094, 0.7467024128686327, 0.76171581769437, 0.7272922252010724, 0.7613941018766756]",,,,,,"[0.7124112712411271, 0.7434932243493224, 0.694127769412777, 0.7342439234243924, 0.7322004732200473]",,
2,,,,,,"[0.7262907359941413, 0.7147564994507506, 0.7277554009520322, 0.7217136580007323, 0.6988282680336872]",,,,,,,,,"[0.7491250690734942, 0.7625713759440044, 0.7598084361760914, 0.7528089887640449, 0.7382575059863695]","[0.7305159165751921, 0.7339919502378339, 0.7387486278814489, 0.7252103915111598, 0.7215514087083791]","[0.7624401032067821, 0.7567268706229267, 0.7545152967194987, 0.7825285661629193, 0.7416144489495023]",,,,,,,,,0.3,,,,,,,,,,,,"[0.7633615923332104, 0.7218945816439366, 0.742351640250645, 0.768521931441209, 0.7500921489126429]","[0.753225211942499, 0.6260597124953926, 0.7386656837449318, 0.7705492075193513, 0.7711021009952083]",,,,,,"[0.7786458333333334, 0.7388392857142857, 0.7704613095238095, 0.7931547619047619, 0.7788318452380952]",,
3,,,,,,"[0.6303549571603427, 0.6976744186046512, 0.7037943696450428, 0.6952264381884945, 0.4467564259485924]",,,,,,,,,"[0.7344497607655502, 0.7422248803827751, 0.7918660287081339, 0.5891148325358851, 0.7858851674641149]","[0.7383004926108374, 0.6970443349753694, 0.7315270935960592, 0.7321428571428571, 0.7456896551724138]","[0.7798896382587369, 0.7651747394236664, 0.776824034334764, 0.7633353770692827, 0.7375843041079092]",,,,,,,,,0.1,,,,,,,,,,,,"[0.8013488657265482, 0.7676272225628449, 0.7063151440833845, 0.7792765174739423, 0.8056407112201104]","[0.7958307786633967, 0.7835683629675047, 0.759656652360515, 0.7627222562844881, 0.8038013488657265]",,,,,,"[0.5726724715338245, 0.5552578700602813, 0.7501674480910918, 0.7789685197588747, 0.44675150703281985]",,
