,ACM_CLL_pca_30_5_pairs_0,ACM_CLNL_pca_30_5_pairs_0,IMDB_AUTO_pca_30_5_pairs_0,Cora_None_pca_64zscore,Cora_CLL_0,Cora_AUTO_0,IMDB_CLL_pca_30_5_pairs_0,ACM_AUTO_pca_30_5_pairs_0,DBLP_CCA_pca_30_5_pairs_0,output_5_pairs_runs.log,Citeseer_CLNL_pca_30,ACM_None_pca_32zscore,Citeseer_None_pca_64TRI,Citeseer_CCA_pca_300,Cora_None_pca_64CONV,ACM_CCA_pca_30_5_pairs_0,DBLP_None_pca_32zscore,ratio,Cora_CLNL_0,Citeseer_CLL_pca_30,IMDB_None_pca_32zscore,IMDB_None_pca_32TRI,Citeseer_AUTO_pca_30,Cora_None_TRI,Citeseer_None_pca_64CONV,DBLP_AUTO_pca_30_5_pairs_0,Cora_None_pca_64TRI,DBLP_None_pca_32TRI,Cora_None_CONV,DBLP_CLL_pca_30_5_pairs_0,Cora_CCA_0,IMDB_CLNL_pca_30_5_pairs_0,DBLP_CLNL_pca_30,Cora_None_zscore,IMDB_CCA_pca_30_5_pairs_0,ACM_None_pca_32TRI,Citeseer_None_pca_64zscore
0,,,,,,,"[0.5337935001438021, 0.5297670405522001, 0.5222893298820822, 0.550762151279839, 0.553350589588726, 0.5519125683060109, 0.47886108714408976, 0.5565142364106989, 0.5372447512223181, 0.5611159045153868, 0.551337359792925, 0.5683060109289617, 0.543572044866264, 0.547598504457866, 0.5614035087719298, 0.54414725337935, 0.5556514236410699, 0.5337935001438021, 0.538107563991947, 0.5522001725625539]",,,,,,,,,,,1.0,,,,,,,,,,,,"[0.6483415233415234, 0.34797297297297297, 0.5408476658476659, 0.5933660933660934, 0.5503685503685504, 0.6455773955773956, 0.629914004914005, 0.3092751842751843, 0.6228501228501229, 0.5758599508599509, 0.6268427518427518, 0.6197788697788698, 0.5801597051597052, 0.5648034398034398, 0.6007371007371007, 0.5623464373464373, 0.6765970515970516, 0.6197788697788698, 0.6345208845208845, 0.6765970515970516]",,,,,,,
1,,,,,,,"[0.5448564593301436, 0.541267942583732, 0.39174641148325356, 0.52811004784689, 0.5400717703349283, 0.5149521531100478, 0.5430622009569378, 0.5334928229665071, 0.5233253588516746, 0.5448564593301436, 0.5316985645933014, 0.5430622009569378, 0.5340909090909091, 0.5580143540669856, 0.52811004784689, 0.5179425837320574, 0.5544258373205742, 0.3498803827751196, 0.49401913875598086, 0.48504784688995217]",,,,,,,,,,,0.5,,,,,,,,,,,,"[0.6794448116325181, 0.7257105089226702, 0.7461996034368804, 0.6701916721744877, 0.6113681427627231, 0.6827495042961005, 0.6820885657633841, 0.6886979510905485, 0.7362855254461335, 0.6840713813615333, 0.6668869795109055, 0.6814276272306675, 0.722405816259088, 0.6701916721744877, 0.7151354923992069, 0.70522141440846, 0.6437541308658294, 0.7250495703899538, 0.6787838730998017, 0.6768010575016523]",,,,,,,
2,,,,,,,"[0.33567134268537074, 0.5100200400801603, 0.4258517034068136, 0.43687374749499, 0.4939879759519038, 0.3627254509018036, 0.5280561122244489, 0.49198396793587174, 0.5020040080160321, 0.35470941883767537, 0.5050100200400801, 0.5100200400801603, 0.5170340681362725, 0.3517034068136273, 0.34468937875751504, 0.4729458917835671, 0.3697394789579158, 0.48697394789579157, 0.36773547094188375, 0.501002004008016]",,,,,,,,,,,0.3,,,,,,,,,,,,"[0.7439724454649828, 0.7336394948335246, 0.703788748564868, 0.6704936854190585, 0.7060849598163031, 0.6865671641791045, 0.6946039035591275, 0.3788748564867968, 0.7129735935706085, 0.6716417910447762, 0.7405281285878301, 0.7244546498277842, 0.7634902411021814, 0.6475315729047072, 0.746268656716418, 0.7072330654420207, 0.722158438576349, 0.6371986222732492, 0.3157290470723307, 0.7359357060849598]",,,,,,,
3,,,,,,,"[0.363905325443787, 0.33136094674556216, 0.4556213017751479, 0.3905325443786982, 0.4349112426035503, 0.35798816568047337, 0.4230769230769231, 0.42011834319526625, 0.41420118343195267, 0.3668639053254438, 0.35798816568047337, 0.4556213017751479, 0.4349112426035503, 0.34911242603550297, 0.3727810650887574, 0.4230769230769231, 0.4171597633136095, 0.4230769230769231, 0.39644970414201186, 0.35502958579881655]",,,,,,,,,,,0.1,,,,,,,,,,,,"[0.23741007194244604, 0.6690647482014388, 0.6474820143884892, 0.6402877697841727, 0.6546762589928058, 0.5827338129496403, 0.6079136690647482, 0.539568345323741, 0.44244604316546765, 0.5251798561151079, 0.4676258992805755, 0.32014388489208634, 0.4064748201438849, 0.6438848920863309, 0.5107913669064749, 0.3597122302158273, 0.6546762589928058, 0.43884892086330934, 0.36330935251798563, 0.30935251798561153]",,,,,,,
