,ACM_CCA_pca_30_5_pairs_0,DBLP_CCA_pca_30_5_pairs_0,Citeseer_None_pca_64zscore,IMDB_None_pca_32TRI,ratio,Cora_None_pca_64TRI,Citeseer_None_pca_64CONV,Cora_None_CONV,ACM_CLL_pca_30_5_pairs_0,Cora_None_zscore,IMDB_CLL_pca_30_5_pairs_0,Cora_CLL_0,DBLP_CLNL_pca_30,Cora_AUTO_0,Cora_None_pca_64zscore,DBLP_None_pca_32TRI,IMDB_None_pca_32zscore,output_5_pairs_runs.log,ACM_AUTO_pca_30_5_pairs_0,Citeseer_CCA_pca_300,DBLP_None_pca_32zscore,Cora_CLNL_0,ACM_None_pca_32zscore,ACM_None_pca_32TRI,IMDB_CCA_pca_30_5_pairs_0,Citeseer_None_pca_64TRI,Citeseer_CLL_pca_30,ACM_CLNL_pca_30_5_pairs_0,Cora_CCA_0,Citeseer_AUTO_pca_30,Cora_None_TRI,Cora_None_pca_64CONV,DBLP_CLL_pca_30_5_pairs_0,IMDB_CLNL_pca_30_5_pairs_0,DBLP_AUTO_pca_30_5_pairs_0,IMDB_AUTO_pca_30_5_pairs_0,Citeseer_CLNL_pca_30
0,,,,,1.0,,,,,,"[0.5723324705205637, 0.542709232096635, 0.5665803853897038, 0.5812482024733966, 0.5841242450388265, 0.5752085130859936, 0.5628415300546448, 0.5703192407247627, 0.5754961173425367, 0.5645671555939028, 0.55277538107564, 0.5800977854472246, 0.5631291343111878, 0.5697440322116767, 0.5800977854472246, 0.5628415300546448, 0.5812482024733966, 0.5616911130284729, 0.5662927811331607, 0.5660051768766178]",,,,,,,,,,,,,,,,,,,,,,"[0.8111179361179361, 0.8135749385749386, 0.8055896805896806, 0.8366093366093366, 0.8111179361179361, 0.8040540540540541, 0.808046683046683, 0.808046683046683, 0.8111179361179361, 0.8350737100737101, 0.8230958230958231, 0.808046683046683, 0.8206388206388207, 0.8151105651105651, 0.8215601965601965, 0.8062039312039312, 0.8301597051597052, 0.8019041769041769, 0.800982800982801, 0.8172604422604423]",,,,
1,,,,,0.5,,,,,,"[0.5616028708133971, 0.5729665071770335, 0.5639952153110048, 0.5460526315789473, 0.5645933014354066, 0.555622009569378, 0.5544258373205742, 0.5454545454545454, 0.5490430622009569, 0.5490430622009569, 0.5610047846889952, 0.5167464114832536, 0.5645933014354066, 0.5574162679425837, 0.562200956937799, 0.5340909090909091, 0.5610047846889952, 0.5723684210526315, 0.5532296650717703, 0.5197368421052632]",,,,,,,,,,,,,,,,,,,,,,"[0.8493060145406477, 0.8374091209517515, 0.8274950429610046, 0.8393919365499009, 0.845340383344349, 0.8440185062789161, 0.8407138136153338, 0.8393919365499009, 0.8473231989424983, 0.8479841374752148, 0.8155981493721084, 0.8393919365499009, 0.8274950429610046, 0.8255122273628552, 0.8301387970918704, 0.8261731658955717, 0.8400528750826173, 0.8387309980171844, 0.8314606741573034, 0.8347653668208856]",,,,
2,,,,,0.3,,,,,,"[0.5050100200400801, 0.5240480961923848, 0.5270541082164328, 0.5230460921843687, 0.503006012024048, 0.48296593186372744, 0.48597194388777554, 0.5090180360721442, 0.5250501002004008, 0.533066132264529, 0.5390781563126252, 0.5130260521042084, 0.5110220440881763, 0.5070140280561122, 0.5220440881763527, 0.5060120240480962, 0.530060120240481, 0.5210420841683366, 0.5150300601202404, 0.5]",,,,,,,,,,,,,,,,,,,,,,"[0.8300803673938002, 0.8392652123995408, 0.8599311136624569, 0.8231917336394948, 0.8335246842709529, 0.8473019517795637, 0.8599311136624569, 0.835820895522388, 0.8369690011481056, 0.8587830080367393, 0.8484500574052812, 0.8484500574052812, 0.8369690011481056, 0.8185993111366245, 0.8473019517795637, 0.8622273249138921, 0.8507462686567164, 0.8346727898966705, 0.851894374282434, 0.8633754305396096]",,,,
3,,,,,0.1,,,,,,"[0.47633136094674555, 0.5059171597633136, 0.5236686390532544, 0.4881656804733728, 0.4970414201183432, 0.38461538461538464, 0.5473372781065089, 0.46449704142011833, 0.5207100591715976, 0.3875739644970414, 0.514792899408284, 0.5088757396449705, 0.5088757396449705, 0.5266272189349113, 0.5769230769230769, 0.40236686390532544, 0.4378698224852071, 0.5029585798816568, 0.5414201183431953, 0.5295857988165681]",,,,,,,,,,,,,,,,,,,,,,"[0.7841726618705036, 0.8129496402877698, 0.8057553956834532, 0.7877697841726619, 0.7446043165467626, 0.7877697841726619, 0.7733812949640287, 0.7805755395683454, 0.8093525179856115, 0.7877697841726619, 0.7841726618705036, 0.7769784172661871, 0.7769784172661871, 0.802158273381295, 0.8201438848920863, 0.7841726618705036, 0.8201438848920863, 0.8165467625899281, 0.8165467625899281, 0.7733812949640287]",,,,
