,DBLP_CCA_pca_30,DBLP_CLL_pca_30,ratio,DBLP_AUTO_pca_30,DBLP_CLNL_pca_30
0,0.935216456862143,0.9349094258520112,1.0,0.934602394841879,0.935216456862143
1,0.9367516119128032,0.921707092416334,0.9,0.9315320847405588,0.9312250537304269
2,0.9247774025176544,0.9149524101934297,0.8,0.923242247466994,0.919864906355542
3,0.9229352164568622,0.8986797666564323,0.7,0.920171937365674,0.920171937365674
4,0.9192508443352778,0.9023641387780166,0.6,0.919864906355542,0.9177156892846178
5,0.9253914645379184,0.9042063248388088,0.5,0.9253914645379184,0.921400061406202
6,0.9269266195885784,0.9060485108996008,0.4,0.9376727049431992,0.9229352164568622
7,0.9238563094872582,0.8707399447344182,0.3,0.9358305188824072,0.9247774025176544
8,0.9134172551427694,0.907583665950261,0.2,0.907583665950261,0.9306109917101628
9,0.9137242861529016,0.9238563094872582,0.1,0.7881486030089039,0.8821000921093031
10,0.7952103162419404,0.8004298434141849,0.02,0.2987411728584587,0.6558182376420019
11,0.4322996622658888,0.6524408965305496,0.01,0.2118513969910961,0.539146453791833
12,0.3515505066011667,0.4295363831747006,0.0,0.3110224132637396,0.3150138163954559
